Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,4104535438958,4104591716867,56277909,-1
0,1,STEP,4104592041201,4104593158749,1117548,-1
1,1,STEP,4104593181677,4104594217175,1035498,-1
2,1,STEP,4104594242209,4104594938661,696452,-1
3,1,STEP,4104594959518,4104595540883,581365,-1
4,1,STEP,4104595561187,4104596059136,497949,-1
5,1,STEP,4104596078936,4104596532042,453106,-1
6,1,STEP,4104596551096,4104597017065,465969,-1
7,1,STEP,4104597036256,4104597486301,450045,-1
8,1,STEP,4104597506401,4104597951932,445531,-1
9,1,STEP,4104597971161,4104598330802,359641,-1
10,1,STEP,4104598348922,4104598781189,432267,-1
11,1,STEP,4104598800000,4104599308935,508935,-1
12,1,STEP,4104599328305,4104599786432,458127,-1
13,1,STEP,4104599805140,4104600209899,404759,-1
14,1,STEP,4104600228636,4104600679382,450746,-1
15,1,STEP,4104600698164,4104601111181,413017,-1
16,1,STEP,4104601128920,4104601597921,469001,-1
17,1,STEP,4104601615916,4104602024246,408330,-1
18,1,STEP,4104602042143,4104602479512,437369,-1
19,1,STEP,4104602497782,4104602926475,428693,-1
20,1,STEP,4104602944789,4104603316534,371745,-1
21,1,STEP,4104603334306,4104603764355,430049,-1
22,1,STEP,4104603782386,4104604205519,423133,-1
23,1,STEP,4104604223414,4104604585113,361699,-1
24,1,STEP,4104604602893,4104604967178,364285,-1
25,1,STEP,4104604985064,4104605435721,450657,-1
26,1,STEP,4104605454070,4104605857667,403597,-1
27,1,STEP,4104605882550,4104606296487,413937,-1
28,1,STEP,4104606315411,4104606672736,357325,-1
29,1,STEP,4104606690461,4104607149013,458552,-1
30,1,STEP,4104607168613,4104607601243,432630,-1
31,1,STEP,4104607622443,4104608038404,415961,-1
32,1,STEP,4104608061458,4104608451893,390435,-1
33,1,STEP,4104608471571,4104609051478,579907,-1
34,1,STEP,4104609074147,4104609511868,437721,-1
35,1,STEP,4104609531577,4104609939467,407890,-1
36,1,STEP,4104609958533,4104610387177,428644,-1
37,1,STEP,4104610406435,4104610786105,379670,-1
38,1,STEP,4104610804597,4104611166498,361901,-1
39,1,STEP,4104611185436,4104611593294,407858,-1
40,1,STEP,4104611611892,4104612042974,431082,-1
41,1,STEP,4104612062011,4104612447299,385288,-1
42,1,STEP,4104612466228,4104612897957,431729,-1
43,1,STEP,4104612917485,4104613291705,374220,-1
44,1,STEP,4104613315400,4104613750419,435019,-1
45,1,STEP,4104613774747,4104614201541,426794,-1
46,1,STEP,4104614226394,4104614711467,485073,-1
47,1,STEP,4104614736042,4104615137261,401219,-1
48,1,STEP,4104615161089,4104615576936,415847,-1
49,1,STEP,4104615600679,4104616027705,427026,-1
50,1,STEP,4104616051388,4104616438891,387503,-1
51,1,STEP,4104616463007,4104616918962,455955,-1
52,1,STEP,4104616943351,4104617371435,428084,-1
53,1,STEP,4104617396337,4104617840461,444124,-1
54,1,STEP,4104617864817,4104618216024,351207,-1
55,1,STEP,4104618240164,4104618675912,435748,-1
56,1,STEP,4104618699875,4104619149314,449439,-1
57,1,STEP,4104619174004,4104619605472,431468,-1
58,1,STEP,4104619627658,4104620092328,464670,-1
59,1,STEP,4104620112276,4104620467451,355175,-1
60,1,STEP,4104620491056,4104620890927,399871,-1
61,1,STEP,4104620914858,4104621270557,355699,-1
62,1,STEP,4104621294900,4104621713700,418800,-1
63,1,STEP,4104621738220,4104622108811,370591,-1
64,1,STEP,4104622155502,4104622596448,440946,-1
65,1,STEP,4104622620214,4104622961293,341079,-1
66,1,STEP,4104622985489,4104623357837,372348,-1
67,1,STEP,4104623381841,4104623830203,448362,-1
68,1,STEP,4104623850607,4104624242473,391866,-1
69,1,STEP,4104624263486,4104624888134,624648,-1
70,1,STEP,4104624918216,4104625412524,494308,-1
71,1,STEP,4104625431750,4104625898726,466976,-1
72,1,STEP,4104625920286,4104626341328,421042,-1
73,1,STEP,4104626361087,4104626766614,405527,-1
74,1,STEP,4104626785733,4104627128516,342783,-1
75,1,STEP,4104627151590,4104627579249,427659,-1
76,1,STEP,4104627598720,4104628019862,421142,-1
77,1,STEP,4104628039526,4104628442235,402709,-1
78,1,STEP,4104628463043,4104628865327,402284,-1
79,1,STEP,4104628889386,4104629257910,368524,-1
80,1,STEP,4104629281806,4104629703026,421220,-1
81,1,STEP,4104629727191,4104630135666,408475,-1
82,1,STEP,4104630159433,4104630561793,402360,-1
83,1,STEP,4104630612790,4104631018242,405452,-1
84,1,STEP,4104631042702,4104631472586,429884,-1
85,1,STEP,4104631497377,4104631871845,374468,-1
86,1,STEP,4104631896044,4104632291253,395209,-1
87,1,STEP,4104632315535,4104632740282,424747,-1
88,1,STEP,4104632764595,4104633147197,382602,-1
89,1,STEP,4104633171377,4104633622563,451186,-1
90,1,STEP,4104633646928,4104634032729,385801,-1
91,1,STEP,4104634057066,4104634459174,402108,-1
92,1,STEP,4104634483500,4104634897069,413569,-1
93,1,STEP,4104634921579,4104635391443,469864,-1
94,1,STEP,4104635411608,4104635842185,430577,-1
95,1,STEP,4104635861960,4104636257700,395740,-1
96,1,STEP,4104636282121,4104636624922,342801,-1
97,1,STEP,4104636649009,4104637059262,410253,-1
98,1,STEP,4104637084092,4104637453641,369549,-1
99,1,STEP,4104637472344,4104637861608,389264,-1
100,1,STEP,4104637885726,4104638304606,418880,-1
101,1,STEP,4104638329155,4104638718434,389279,-1
102,1,STEP,4104638742022,4104639131231,389209,-1
103,1,STEP,4104639155115,4104639583653,428538,-1
104,1,STEP,4104639617189,4104639957171,339982,-1
105,1,STEP,4104639975974,4104640340133,364159,-1
106,1,STEP,4104640360199,4104640784501,424302,-1
107,1,STEP,4104640805616,4104641435518,629902,-1
108,1,STEP,4104641467950,4104641977305,509355,-1
109,1,STEP,4104642000442,4104642520533,520091,-1
110,1,STEP,4104642557135,4104643417404,860269,-1
111,1,STEP,4104643557355,4104644160943,603588,-1
112,1,STEP,4104644183518,4104644845252,661734,-1
113,1,STEP,4104644901805,4104645301511,399706,-1
114,1,STEP,4104645320211,4104645740237,420026,-1
115,1,STEP,4104645768651,4104646195351,426700,-1
116,1,STEP,4104646219369,4104646613851,394482,-1
117,1,STEP,4104646638393,4104647091889,453496,-1
118,1,STEP,4104647116263,4104647591898,475635,-1
119,1,STEP,4104647613473,4104648008269,394796,-1
120,1,STEP,4104648035316,4104648445439,410123,-1
121,1,STEP,4104648470166,4104648845255,375089,-1
122,1,STEP,4104648870206,4104649287781,417575,-1
123,1,STEP,4104649311756,4104649718801,407045,-1
124,1,STEP,4104649738345,4104650136474,398129,-1
125,1,STEP,4104650159855,4104650483183,323328,-1
126,1,STEP,4104650506571,4104650852268,345697,-1
127,1,STEP,4104650875635,4104651306260,430625,-1
128,1,STEP,4104651332648,4104651673921,341273,-1
129,1,STEP,4104651692392,4104652065138,372746,-1
130,1,STEP,4104652083584,4104652456175,372591,-1
131,1,STEP,4104652507117,4104652884333,377216,-1
132,1,STEP,4104652914300,4104653259904,345604,-1
133,1,STEP,4104653289718,4104653721208,431490,-1
134,1,STEP,4104653742093,4104654124201,382108,-1
135,1,STEP,4104654143339,4104654540953,397614,-1
136,1,STEP,4104654560365,4104654982056,421691,-1
137,1,STEP,4104655003481,4104655361774,358293,-1
138,1,STEP,4104655384298,4104655795512,411214,-1
139,1,STEP,4104655814461,4104656199046,384585,-1
140,1,STEP,4104656218901,4104656755890,536989,-1
141,1,STEP,4104656775508,4104657271668,496160,-1
142,1,STEP,4104657291530,4104657636575,345045,-1
143,1,STEP,4104657656818,4104658066664,409846,-1
144,1,STEP,4104658087335,4104658481936,394601,-1
145,1,STEP,4104658505773,4104659082819,577046,-1
146,1,STEP,4104659105942,4104659580616,474674,-1
147,1,STEP,4104659600535,4104660039240,438705,-1
148,1,STEP,4104660059199,4104660494888,435689,-1
149,1,STEP,4104660523649,4104660935695,412046,-1
150,1,STEP,4104660955374,4104661349788,394414,-1
151,1,STEP,4104661369134,4104661776592,407458,-1
152,1,STEP,4104661798670,4104662167120,368450,-1
153,1,STEP,4104662186248,4104662575570,389322,-1
154,1,STEP,4104662594862,4104662981710,386848,-1
155,1,STEP,4104663001170,4104663383890,382720,-1
156,1,STEP,4104663407428,4104663868669,461241,-1
157,1,STEP,4104663893226,4104664306523,413297,-1
158,1,STEP,4104664330009,4104664730538,400529,-1
159,1,STEP,4104664754946,4104665110151,355205,-1
160,1,STEP,4104665134465,4104665536430,401965,-1
161,1,STEP,4104665564558,4104665949359,384801,-1
162,1,STEP,4104665973512,4104666351139,377627,-1
163,1,STEP,4104666375193,4104666769875,394682,-1
164,1,STEP,4104666793685,4104667184384,390699,-1
165,1,STEP,4104667208387,4104667597770,389383,-1
166,1,STEP,4104667617828,4104668024933,407105,-1
167,1,STEP,4104668056183,4104668476344,420161,-1
168,1,STEP,4104668501180,4104668902733,401553,-1
169,1,STEP,4104668926674,4104669288623,361949,-1
170,1,STEP,4104669312500,4104669700077,387577,-1
171,1,STEP,4104669718709,4104670065303,346594,-1
172,1,STEP,4104670088943,4104670549352,460409,-1
173,1,STEP,4104670569401,4104670920507,351106,-1
174,1,STEP,4104670943782,4104671323198,379416,-1
175,1,STEP,4104671347286,4104671749892,402606,-1
176,1,STEP,4104671773922,4104672149925,376003,-1
177,1,STEP,4104672173767,4104672652661,478894,-1
178,1,STEP,4104672687341,4104673142319,454978,-1
179,1,STEP,4104673162264,4104673600301,438037,-1
180,1,STEP,4104673621195,4104674043012,421817,-1
181,1,STEP,4104674063413,4104674509086,445673,-1
182,1,STEP,4104674530732,4104674992684,461952,-1
183,1,STEP,4104675017138,4104675587437,570299,-1
184,1,STEP,4104675609153,4104676082024,472871,-1
185,1,STEP,4104676102449,4104676514680,412231,-1
186,1,STEP,4104676535020,4104676932612,397592,-1
187,1,STEP,4104676954125,4104677380550,426425,-1
188,1,STEP,4104677405401,4104677759160,353759,-1
189,1,STEP,4104677778644,4104678176572,397928,-1
190,1,STEP,4104678196175,4104678607556,411381,-1
191,1,STEP,4104678627476,4104679005988,378512,-1
192,1,STEP,4104679025677,4104679399244,373567,-1
193,1,STEP,4104679418505,4104679848779,430274,-1
194,1,STEP,4104679868810,4104680267238,398428,-1
195,1,STEP,4104680286905,4104680754368,467463,-1
196,1,STEP,4104680774409,4104681100286,325877,-1
197,1,STEP,4104681124216,4104681525576,401360,-1
198,1,STEP,4104681544278,4104681914815,370537,-1
199,1,STEP,4104681933046,4104682380158,447112,-1
200,1,STEP,4104682399054,4104682801531,402477,-1
201,1,STEP,4104682820665,4104683285858,465193,-1
202,1,STEP,4104683310105,4104683741295,431190,-1
203,1,STEP,4104683760313,4104684138379,378066,-1
204,1,STEP,4104684162278,4104684554409,392131,-1
205,1,STEP,4104684573075,4104684963674,390599,-1
206,1,STEP,4104684982616,4104685422320,439704,-1
207,1,STEP,4104685442411,4104685860316,417905,-1
208,1,STEP,4104685879289,4104686310413,431124,-1
209,1,STEP,4104686334507,4104686768270,433763,-1
210,1,STEP,4104686787627,4104687203975,416348,-1
211,1,STEP,4104687228198,4104687611711,383513,-1
212,1,STEP,4104687630610,4104688007427,376817,-1
213,1,STEP,4104688025535,4104688477592,452057,-1
214,1,STEP,4104688496579,4104688886271,389692,-1
215,1,STEP,4104688904736,4104689366048,461312,-1
216,1,STEP,4104689385069,4104689776044,390975,-1
217,1,STEP,4104689794519,4104690206776,412257,-1
218,1,STEP,4104690226503,4104690681729,455226,-1
219,1,STEP,4104690701971,4104691181876,479905,-1
220,1,STEP,4104691204788,4104691624826,420038,-1
221,1,STEP,4104691653502,4104692107602,454100,-1
222,1,STEP,4104692128916,4104692539168,410252,-1
223,1,STEP,4104692559326,4104693008634,449308,-1
224,1,STEP,4104693029744,4104693425604,395860,-1
225,1,STEP,4104693445395,4104693856278,410883,-1
226,1,STEP,4104693876846,4104694268431,391585,-1
227,1,STEP,4104694291291,4104694681006,389715,-1
228,1,STEP,4104694700520,4104695117271,416751,-1
229,1,STEP,4104695136947,4104695543169,406222,-1
230,1,STEP,4104695562899,4104695973626,410727,-1
231,1,STEP,4104695993415,4104696357453,364038,-1
232,1,STEP,4104696377249,4104696813321,436072,-1
233,1,STEP,4104696833383,4104697248375,414992,-1
234,1,STEP,4104697268487,4104697649843,381356,-1
235,1,STEP,4104697669892,4104698051838,381946,-1
236,1,STEP,4104698071529,4104698450875,379346,-1
237,1,STEP,4104698470750,4104698865985,395235,-1
238,1,STEP,4104698885786,4104699286788,401002,-1
239,1,STEP,4104699306390,4104699698326,391936,-1
