Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,4109020084615,4109075729077,55644462,-1
0,1,STEP,4109075841722,4109076821830,980108,-1
1,1,STEP,4109076843269,4109077748755,905486,-1
2,1,STEP,4109077768656,4109078423946,655290,-1
3,1,STEP,4109078444873,4109079067982,623109,-1
4,1,STEP,4109079086654,4109079555374,468720,-1
5,1,STEP,4109079573441,4109080033082,459641,-1
6,1,STEP,4109080052128,4109080518065,465937,-1
7,1,STEP,4109080537172,4109080986749,449577,-1
8,1,STEP,4109081006028,4109081443600,437572,-1
9,1,STEP,4109081462901,4109081819161,356260,-1
10,1,STEP,4109081837567,4109082267702,430135,-1
11,1,STEP,4109082286395,4109082797572,511177,-1
12,1,STEP,4109082817520,4109083294093,476573,-1
13,1,STEP,4109083313098,4109083760789,447691,-1
14,1,STEP,4109083779916,4109084231797,451881,-1
15,1,STEP,4109084250291,4109084658881,408590,-1
16,1,STEP,4109084677905,4109085157475,479570,-1
17,1,STEP,4109085176645,4109085567988,391343,-1
18,1,STEP,4109085586805,4109086035185,448380,-1
19,1,STEP,4109086054184,4109086476126,421942,-1
20,1,STEP,4109086494100,4109086872373,378273,-1
21,1,STEP,4109086891071,4109087287408,396337,-1
22,1,STEP,4109087305736,4109087747701,441965,-1
23,1,STEP,4109087766016,4109088132830,366814,-1
24,1,STEP,4109088150755,4109088505742,354987,-1
25,1,STEP,4109088523394,4109088987988,464594,-1
26,1,STEP,4109089007305,4109089416030,408725,-1
27,1,STEP,4109089434213,4109089849430,415217,-1
28,1,STEP,4109089868246,4109090226997,358751,-1
29,1,STEP,4109090245396,4109090723655,478259,-1
30,1,STEP,4109090747633,4109091282416,534783,-1
31,1,STEP,4109091309414,4109091790886,481472,-1
32,1,STEP,4109091813343,4109092175218,361875,-1
33,1,STEP,4109092194750,4109092680995,486245,-1
34,1,STEP,4109092701844,4109093126512,424668,-1
35,1,STEP,4109093145995,4109093587053,441058,-1
36,1,STEP,4109093606475,4109094045614,439139,-1
37,1,STEP,4109094065487,4109094458378,392891,-1
38,1,STEP,4109094477467,4109094846807,369340,-1
39,1,STEP,4109094866074,4109095281059,414985,-1
40,1,STEP,4109095300046,4109095735722,435676,-1
41,1,STEP,4109095755468,4109096148267,392799,-1
42,1,STEP,4109096168012,4109096620271,452259,-1
43,1,STEP,4109096640026,4109097029933,389907,-1
44,1,STEP,4109097049138,4109097452360,403222,-1
45,1,STEP,4109097472250,4109097913427,441177,-1
46,1,STEP,4109097933361,4109098434223,500862,-1
47,1,STEP,4109098454166,4109098866924,412758,-1
48,1,STEP,4109098887977,4109099307808,419831,-1
49,1,STEP,4109099326328,4109099740390,414062,-1
50,1,STEP,4109099758856,4109100153287,394431,-1
51,1,STEP,4109100172159,4109100633445,461286,-1
52,1,STEP,4109100652374,4109101108020,455646,-1
53,1,STEP,4109101126689,4109101568578,441889,-1
54,1,STEP,4109101587847,4109101946826,358979,-1
55,1,STEP,4109101965524,4109102391746,426222,-1
56,1,STEP,4109102410967,4109102874396,463429,-1
57,1,STEP,4109102893439,4109103313732,420293,-1
58,1,STEP,4109103332965,4109103804976,472011,-1
59,1,STEP,4109103824427,4109104179522,355095,-1
60,1,STEP,4109104197917,4109104603564,405647,-1
61,1,STEP,4109104621708,4109104987725,366017,-1
62,1,STEP,4109105005910,4109105449308,443398,-1
63,1,STEP,4109105468333,4109105840963,372630,-1
64,1,STEP,4109105865694,4109106315427,449733,-1
65,1,STEP,4109106334000,4109106701009,367009,-1
66,1,STEP,4109106719550,4109107136943,417393,-1
67,1,STEP,4109107157002,4109107583895,426893,-1
68,1,STEP,4109107604623,4109108053701,449078,-1
69,1,STEP,4109108074617,4109108610099,535482,-1
70,1,STEP,4109108631168,4109109047455,416287,-1
71,1,STEP,4109109067311,4109109518781,451470,-1
72,1,STEP,4109109539448,4109109951736,412288,-1
73,1,STEP,4109109971574,4109110391989,420415,-1
74,1,STEP,4109110412148,4109110754565,342417,-1
75,1,STEP,4109110777966,4109111195478,417512,-1
76,1,STEP,4109111214384,4109111640167,425783,-1
77,1,STEP,4109111658776,4109112036120,377344,-1
78,1,STEP,4109112055363,4109112435473,380110,-1
79,1,STEP,4109112460414,4109112810647,350233,-1
80,1,STEP,4109112829424,4109113258961,429537,-1
81,1,STEP,4109113277811,4109113717568,439757,-1
82,1,STEP,4109113742225,4109114149906,407681,-1
83,1,STEP,4109114175536,4109114604929,429393,-1
84,1,STEP,4109114624137,4109115074675,450538,-1
85,1,STEP,4109115093699,4109115487613,393914,-1
86,1,STEP,4109115513815,4109115925037,411222,-1
87,1,STEP,4109115944131,4109116380406,436275,-1
88,1,STEP,4109116399191,4109116792093,392902,-1
89,1,STEP,4109116810758,4109117242894,432136,-1
90,1,STEP,4109117261255,4109117673072,411817,-1
91,1,STEP,4109117692358,4109118101015,408657,-1
92,1,STEP,4109118120254,4109118540301,420047,-1
93,1,STEP,4109118559020,4109119028145,469125,-1
94,1,STEP,4109119047528,4109119481426,433898,-1
95,1,STEP,4109119499863,4109119900590,400727,-1
96,1,STEP,4109119919155,4109120271490,352335,-1
97,1,STEP,4109120290299,4109120702173,411874,-1
98,1,STEP,4109120721122,4109121092619,371497,-1
99,1,STEP,4109121111450,4109121502610,391160,-1
100,1,STEP,4109121521410,4109121964895,443485,-1
101,1,STEP,4109121983936,4109122382944,399008,-1
102,1,STEP,4109122401589,4109122866947,465358,-1
103,1,STEP,4109122885587,4109123321784,436197,-1
104,1,STEP,4109123340216,4109123719969,379753,-1
105,1,STEP,4109123740028,4109124113087,373059,-1
106,1,STEP,4109124135143,4109124571887,436744,-1
107,1,STEP,4109124594936,4109125172704,577768,-1
108,1,STEP,4109125193081,4109125608976,415895,-1
109,1,STEP,4109125629146,4109126050317,421171,-1
110,1,STEP,4109126071003,4109126555451,484448,-1
111,1,STEP,4109126576114,4109126991039,414925,-1
112,1,STEP,4109127011725,4109127492335,480610,-1
113,1,STEP,4109127512842,4109127867264,354422,-1
114,1,STEP,4109127888643,4109128293310,404667,-1
115,1,STEP,4109128313158,4109128739882,426724,-1
116,1,STEP,4109128758299,4109129161200,402901,-1
117,1,STEP,4109129180261,4109129653350,473089,-1
118,1,STEP,4109129672107,4109130129611,457504,-1
119,1,STEP,4109130148557,4109130553858,405301,-1
120,1,STEP,4109130572635,4109130991512,418877,-1
121,1,STEP,4109131010773,4109131388256,377483,-1
122,1,STEP,4109131406912,4109131827479,420567,-1
123,1,STEP,4109131845918,4109132242868,396950,-1
124,1,STEP,4109132269056,4109132670779,401723,-1
125,1,STEP,4109132688578,4109133016128,327550,-1
126,1,STEP,4109133033751,4109133381341,347590,-1
127,1,STEP,4109133399213,4109133846572,447359,-1
128,1,STEP,4109133871829,4109134212999,341170,-1
129,1,STEP,4109134237059,4109134620063,383004,-1
130,1,STEP,4109134637988,4109134999220,361232,-1
131,1,STEP,4109135016888,4109135384319,367431,-1
132,1,STEP,4109135402215,4109135754496,352281,-1
133,1,STEP,4109135772516,4109136161230,388714,-1
134,1,STEP,4109136179452,4109136556514,377062,-1
135,1,STEP,4109136574800,4109136965765,390965,-1
136,1,STEP,4109136983753,4109137420083,436330,-1
137,1,STEP,4109137438449,4109137797289,358840,-1
138,1,STEP,4109137814981,4109138247023,432042,-1
139,1,STEP,4109138272693,4109138652729,380036,-1
140,1,STEP,4109138671344,4109139109645,438301,-1
141,1,STEP,4109139128167,4109139569036,440869,-1
142,1,STEP,4109139587332,4109139916496,329164,-1
143,1,STEP,4109139934991,4109140338247,403256,-1
144,1,STEP,4109140357909,4109140723126,365217,-1
145,1,STEP,4109140743409,4109141255661,512252,-1
146,1,STEP,4109141275803,4109141697960,422157,-1
147,1,STEP,4109141717225,4109142152839,435614,-1
148,1,STEP,4109142183588,4109142582679,399091,-1
149,1,STEP,4109142600947,4109142989894,388947,-1
150,1,STEP,4109143008452,4109143381092,372640,-1
151,1,STEP,4109143399566,4109143811408,411842,-1
152,1,STEP,4109143834848,4109144221862,387014,-1
153,1,STEP,4109144240185,4109144621100,380915,-1
154,1,STEP,4109144639414,4109145024193,384779,-1
155,1,STEP,4109145042145,4109145436655,394510,-1
156,1,STEP,4109145456054,4109145900305,444251,-1
157,1,STEP,4109145919883,4109146335563,415680,-1
158,1,STEP,4109146355476,4109146758424,402948,-1
159,1,STEP,4109146778312,4109147140754,362442,-1
160,1,STEP,4109147160662,4109147569570,408908,-1
161,1,STEP,4109147589266,4109147983505,394239,-1
