Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,4360071322346,4360126170464,54848118,-1
0,1,STEP,4360126294065,4360127949486,1655421,-1
1,1,STEP,4360127965837,4360129186968,1221131,-1
2,1,STEP,4360129201414,4360129995880,794466,-1
3,1,STEP,4360130011529,4360130540961,529432,-1
4,1,STEP,4360130553439,4360131281715,728276,-1
5,1,STEP,4360131296041,4360131867711,571670,-1
6,1,STEP,4360131880893,4360132321815,440922,-1
7,1,STEP,4360132336153,4360132797664,461511,-1
8,1,STEP,4360132810333,4360133173113,362780,-1
9,1,STEP,4360133184946,4360133510390,325444,-1
10,1,STEP,4360133521375,4360133889632,368257,-1
11,1,STEP,4360133899513,4360134194647,295134,-1
12,1,STEP,4360134204538,4360134606795,402257,-1
13,1,STEP,4360134617372,4360134803670,186298,-1
14,1,STEP,4360134812827,4360135103135,290308,-1
15,1,STEP,4360135112893,4360135438387,325494,-1
16,1,STEP,4360135450028,4360135797524,347496,-1
17,1,STEP,4360135807513,4360135987111,179598,-1
18,1,STEP,4360135996559,4360136340316,343757,-1
19,1,STEP,4360136351005,4360136709707,358702,-1
20,1,STEP,4360136720363,4360136869644,149281,-1
21,1,STEP,4360136878600,4360137093933,215333,-1
22,1,STEP,4360137105232,4360137262613,157381,-1
23,1,STEP,4360137271786,4360137394125,122339,-1
24,1,STEP,4360137402672,4360137521575,118903,-1
25,1,STEP,4360137530328,4360137691344,161016,-1
26,1,STEP,4360137699936,4360137846917,146981,-1
27,1,STEP,4360137856636,4360138021134,164498,-1
28,1,STEP,4360138029919,4360138178050,148131,-1
29,1,STEP,4360138187673,4360138322376,134703,-1
30,1,STEP,4360138331137,4360138487720,156583,-1
31,1,STEP,4360138496361,4360138626331,129970,-1
32,1,STEP,4360138636445,4360138788128,151683,-1
33,1,STEP,4360138798335,4360138930648,132313,-1
34,1,STEP,4360138941066,4360139077811,136745,-1
35,1,STEP,4360139087209,4360139225623,138414,-1
36,1,STEP,4360139234748,4360139380191,145443,-1
37,1,STEP,4360139389456,4360139516274,126818,-1
38,1,STEP,4360139526808,4360139665716,138908,-1
39,1,STEP,4360139676332,4360139814560,138228,-1
40,1,STEP,4360139824504,4360139959041,134537,-1
41,1,STEP,4360139969492,4360140103492,134000,-1
42,1,STEP,4360140112256,4360140261077,148821,-1
43,1,STEP,4360140270459,4360140405258,134799,-1
44,1,STEP,4360140414152,4360140564308,150156,-1
45,1,STEP,4360140575716,4360140742287,166571,-1
46,1,STEP,4360140753005,4360140959979,206974,-1
47,1,STEP,4360140971225,4360141131152,159927,-1
48,1,STEP,4360141141311,4360141286206,144895,-1
49,1,STEP,4360141296873,4360141458316,161443,-1
