Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,2454697239312,2454811704286,114464974,-1
0,1,STEP,2454811821114,2454812778064,956950,-1
1,1,STEP,2454812799980,2454813611970,811990,-1
2,1,STEP,2454813632008,2454814251074,619066,-1
3,1,STEP,2454814270462,2454814818482,548020,-1
4,1,STEP,2454814838031,2454815316170,478139,-1
5,1,STEP,2454815335465,2454815789367,453902,-1
6,1,STEP,2454815808692,2454816285011,476319,-1
7,1,STEP,2454816306297,2454816758459,452162,-1
8,1,STEP,2454816778091,2454817219955,441864,-1
9,1,STEP,2454817239390,2454817602466,363076,-1
10,1,STEP,2454817620885,2454818052089,431204,-1
11,1,STEP,2454818070999,2454818583308,512309,-1
12,1,STEP,2454818602961,2454819075923,472962,-1
13,1,STEP,2454819095022,2454819517835,422813,-1
14,1,STEP,2454819536735,2454820000479,463744,-1
15,1,STEP,2454820020308,2454820432637,412329,-1
16,1,STEP,2454820451693,2454820944307,492614,-1
17,1,STEP,2454820963670,2454821406061,442391,-1
18,1,STEP,2454821424853,2454821903240,478387,-1
19,1,STEP,2454821922986,2454822444028,521042,-1
20,1,STEP,2454822468585,2454822987592,519007,-1
21,1,STEP,2454823007759,2454823521265,513506,-1
22,1,STEP,2454823541412,2454823999340,457928,-1
23,1,STEP,2454824018903,2454824403237,384334,-1
24,1,STEP,2454824423329,2454824807191,383862,-1
25,1,STEP,2454824828186,2454825311911,483725,-1
26,1,STEP,2454825331064,2454825759163,428099,-1
27,1,STEP,2454825781202,2454826220531,439329,-1
28,1,STEP,2454826245650,2454826621101,375451,-1
29,1,STEP,2454826640369,2454827070925,430556,-1
30,1,STEP,2454827090402,2454827539027,448625,-1
31,1,STEP,2454827558788,2454827966853,408065,-1
32,1,STEP,2454827993904,2454828333335,339431,-1
33,1,STEP,2454828352472,2454828781264,428792,-1
34,1,STEP,2454828801124,2454829228553,427429,-1
35,1,STEP,2454829249153,2454829689566,440413,-1
36,1,STEP,2454829709181,2454830139018,429837,-1
37,1,STEP,2454830158813,2454830538289,379476,-1
38,1,STEP,2454830562444,2454830928274,365830,-1
39,1,STEP,2454830947360,2454831380344,432984,-1
40,1,STEP,2454831400136,2454831861953,461817,-1
41,1,STEP,2454831881753,2454832258145,376392,-1
42,1,STEP,2454832277940,2454832728846,450906,-1
43,1,STEP,2454832748701,2454833190858,442157,-1
44,1,STEP,2454833210485,2454833662023,451538,-1
