Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,2648536841940,2648593891638,57049698,-1
0,1,STEP,2648594035607,2648595509069,1473462,-1
1,1,STEP,2648595533027,2648596453162,920135,-1
2,1,STEP,2648596474307,2648597143698,669391,-1
3,1,STEP,2648597162835,2648597722022,559187,-1
4,1,STEP,2648597746684,2648598230275,483591,-1
5,1,STEP,2648598255750,2648598708962,453212,-1
6,1,STEP,2648598731638,2648599206501,474863,-1
7,1,STEP,2648599229226,2648599692384,463158,-1
8,1,STEP,2648599711993,2648600159626,447633,-1
9,1,STEP,2648600182533,2648600553627,371094,-1
10,1,STEP,2648600576362,2648601013484,437122,-1
11,1,STEP,2648601036185,2648601541434,505249,-1
12,1,STEP,2648601564561,2648602019380,454819,-1
13,1,STEP,2648602042041,2648602433131,391090,-1
14,1,STEP,2648602455970,2648602893409,437439,-1
15,1,STEP,2648602916252,2648603332272,416020,-1
16,1,STEP,2648603355248,2648603867615,512367,-1
17,1,STEP,2648603890787,2648604290524,399737,-1
18,1,STEP,2648604314450,2648604753850,439400,-1
19,1,STEP,2648604776436,2648605200753,424317,-1
20,1,STEP,2648605223469,2648605608210,384741,-1
21,1,STEP,2648605627192,2648606080785,453593,-1
22,1,STEP,2648606110553,2648606689209,578656,-1
23,1,STEP,2648606712526,2648607208119,495593,-1
24,1,STEP,2648607250394,2648607903244,652850,-1
25,1,STEP,2648607929630,2648608415616,485986,-1
26,1,STEP,2648608435814,2648608862930,427116,-1
27,1,STEP,2648608882100,2648609321960,439860,-1
28,1,STEP,2648609341320,2648609707586,366266,-1
29,1,STEP,2648609726698,2648610164457,437759,-1
30,1,STEP,2648610183862,2648610628538,444676,-1
31,1,STEP,2648610652358,2648611063859,411501,-1
32,1,STEP,2648611089128,2648611451378,362250,-1
33,1,STEP,2648611474775,2648611895318,420543,-1
34,1,STEP,2648611918513,2648612332651,414138,-1
35,1,STEP,2648612356100,2648612753568,397468,-1
36,1,STEP,2648612776571,2648613214193,437622,-1
37,1,STEP,2648613238175,2648613630181,392006,-1
38,1,STEP,2648613653341,2648614022630,369289,-1
39,1,STEP,2648614045495,2648614456263,410768,-1
