Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
466,1.48164e-51,0.117039,5000,1,14.9141,1,0,0.0605469,0.0605469
467,1.48164e-51,0.117039,5000,1,14.9336,1,0,0.046875,0.046875
468,1.48164e-51,0.117039,5000,1,14.9307,1,0,0.0537109,0.0537109
469,1.47875e-51,0.117088,5000,1,14.9092,0.999023,0.000976562,0.0478516,0.0478516
470,1.48164e-51,0.117039,5000,1,14.8857,1,0,0.0537109,0.0537109
471,1.48019e-51,0.117054,5000,1,14.8535,1,0,0.0429688,0.0429688
472,1.48164e-51,0.117039,5000,1,14.7979,1,0,0.0458984,0.0458984
473,1.48019e-51,0.117054,5000,1,14.8467,1,0,0.0507812,0.0507812
474,1.48164e-51,0.117039,5000,1,14.834,1,0,0.046875,0.046875
475,1.48164e-51,0.117039,5000,1,14.8096,1,0,0.0517578,0.0517578
476,1.48164e-51,0.117039,5000,1,14.834,1,0,0.0566406,0.0566406
477,1.48164e-51,0.117039,5000,1,14.8311,1,0,0.046875,0.046875
478,1.48019e-51,0.117073,5000,1,14.7891,0.999023,0.000976562,0.0585938,0.0585938
479,1.47875e-51,0.117116,5000,0.999023,14.8643,0.999023,0,0.0410156,0.0410156
480,1.48019e-51,0.117073,5000,0.999023,14.8936,0.999023,0,0.0517578,0.0517578
481,1.48019e-51,0.117073,5000,0.999023,14.8818,0.999023,0,0.0429688,0.0429688
482,1.48019e-51,0.117054,5000,1,14.8945,1,0,0.0517578,0.0517578
483,1.48164e-51,0.117039,5000,1,14.96,1,0,0.0507812,0.0507812
484,1.48164e-51,0.117039,5000,1,14.9785,1,0,0.0566406,0.0566406
485,1.47876e-51,0.117078,5000,1,15.0283,1,0,0.0498047,0.0498047
486,1.48164e-51,0.117039,5000,1,15.0391,1,0,0.0419922,0.0419922
487,1.48019e-51,0.117073,5000,0.999023,15.0439,0.999023,0,0.0498047,0.0498047
488,1.48019e-51,0.117073,5000,0.999023,15.0693,0.999023,0,0.0439453,0.0439453
489,1.48164e-51,0.117039,5000,1,15.083,1,0,0.0449219,0.0449219
490,1.48164e-51,0.117039,5000,1,15.124,1,0,0.0488281,0.0488281
491,1.48164e-51,0.117039,5000,1,15.1797,1,0,0.0566406,0.0566406
492,1.48019e-51,0.117073,5000,0.999023,15.1729,0.999023,0,0.0410156,0.0410156
493,1.48019e-51,0.117054,5000,1,15.1865,1,0,0.0478516,0.0478516
494,1.47875e-51,0.117088,5000,0.999023,15.1768,0.999023,0,0.0498047,0.0498047
495,1.48164e-51,0.117039,5000,1,15.1729,1,0,0.0605469,0.0605469
496,1.48164e-51,0.117039,5000,1,15.1777,1,0,0.0517578,0.0517578
497,1.48019e-51,0.117073,5000,1,15.1943,0.999023,0.000976562,0.0498047,0.0498047
498,1.48019e-51,0.117073,5000,1,15.1914,0.999023,0.000976562,0.0439453,0.0439453
