Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,4254797944069,4255162348572,364404503,-1
0,1,STEP,4255162558872,4255168043672,5484800,-1
1,1,STEP,4255168167872,4255172661172,4493300,-1
2,1,STEP,4255172745372,4255176558872,3813500,-1
3,1,STEP,4255176639972,4255180961472,4321500,-1
4,1,STEP,4255181137672,4255185802872,4665200,-1
5,1,STEP,4255185892572,4255189490672,3598100,-1
6,1,STEP,4255189606772,4255193085972,3479200,-1
7,1,STEP,4255193173672,4255196564372,3390700,-1
8,1,STEP,4255196671872,4255200202472,3530600,-1
9,1,STEP,4255200289172,4255202884472,2595300,-1
10,1,STEP,4255202971272,4255206279672,3308400,-1
11,1,STEP,4255206377672,4255210399372,4021700,-1
12,1,STEP,4255210485072,4255214314272,3829200,-1
13,1,STEP,4255214421572,4255218223272,3801700,-1
14,1,STEP,4255218313772,4255222259972,3946200,-1
15,1,STEP,4255222358672,4255225677772,3319100,-1
16,1,STEP,4255225774772,4255229674272,3899500,-1
17,1,STEP,4255229760872,4255232942272,3181400,-1
18,1,STEP,4255233050072,4255236413372,3363300,-1
19,1,STEP,4255236490172,4255239820272,3330100,-1
20,1,STEP,4255239948772,4255243008072,3059300,-1
21,1,STEP,4255243088872,4255246276873,3188001,-1
22,1,STEP,4255246354073,4255250551573,4197500,-1
23,1,STEP,4255250663573,4255253556073,2892500,-1
24,1,STEP,4255253640273,4255256459573,2819300,-1
25,1,STEP,4255256539373,4255260178073,3638700,-1
26,1,STEP,4255260255873,4255263483973,3228100,-1
27,1,STEP,4255263566473,4255267172373,3605900,-1
28,1,STEP,4255267271473,4255270159073,2887600,-1
29,1,STEP,4255270242273,4255273630373,3388100,-1
30,1,STEP,4255273709273,4255276970173,3260900,-1
31,1,STEP,4255277047573,4255280099873,3052300,-1
32,1,STEP,4255280183173,4255283174173,2991000,-1
33,1,STEP,4255283279773,4255286637673,3357900,-1
34,1,STEP,4255286725873,4255290245573,3519700,-1
35,1,STEP,4255290337673,4255293575973,3238300,-1
36,1,STEP,4255293654273,4255296958273,3304000,-1
37,1,STEP,4255297038473,4255299881473,2843000,-1
38,1,STEP,4255299956673,4255302770473,2813800,-1
39,1,STEP,4255302848073,4255306241273,3393200,-1
40,1,STEP,4255306321173,4255309702173,3381000,-1
41,1,STEP,4255309780573,4255312480373,2699800,-1
42,1,STEP,4255312556273,4255316500473,3944200,-1
43,1,STEP,4255316621173,4255319645873,3024700,-1
44,1,STEP,4255319727473,4255322848673,3121200,-1
45,1,STEP,4255322959173,4255326354073,3394900,-1
46,1,STEP,4255326457473,4255330706073,4248600,-1
47,1,STEP,4255330809073,4255333962673,3153600,-1
48,1,STEP,4255334036873,4255337419773,3382900,-1
49,1,STEP,4255337493073,4255340601073,3108000,-1
50,1,STEP,4255340687973,4255343609873,2921900,-1
51,1,STEP,4255343684173,4255347163873,3479700,-1
52,1,STEP,4255347275773,4255351213173,3937400,-1
53,1,STEP,4255351370473,4255355328473,3958000,-1
54,1,STEP,4255355423073,4255358059773,2636700,-1
55,1,STEP,4255358132973,4255361375173,3242200,-1
56,1,STEP,4255361460173,4255365045873,3585700,-1
57,1,STEP,4255365132473,4255368684973,3552500,-1
58,1,STEP,4255368808773,4255372775773,3967000,-1
59,1,STEP,4255372878773,4255375524073,2645300,-1
60,1,STEP,4255375623073,4255379008873,3385800,-1
61,1,STEP,4255379103273,4255382369874,3266601,-1
62,1,STEP,4255382739074,4255386600874,3861800,-1
63,1,STEP,4255386707474,4255389542374,2834900,-1
64,1,STEP,4255389675674,4255392981674,3306000,-1
65,1,STEP,4255393077274,4255395728274,2651000,-1
