Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,4249703520732,4250112620035,409099303,-1
0,1,STEP,4250112793635,4250119110135,6316500,-1
1,1,STEP,4250119220535,4250124331835,5111300,-1
2,1,STEP,4250124427635,4250128350835,3923200,-1
3,1,STEP,4250128444735,4250132496735,4052000,-1
4,1,STEP,4250132599935,4250136232935,3633000,-1
5,1,STEP,4250136322835,4250140077635,3754800,-1
6,1,STEP,4250140218635,4250143897835,3679200,-1
7,1,STEP,4250143982235,4250147602335,3620100,-1
8,1,STEP,4250147888335,4250152608035,4719700,-1
9,1,STEP,4250152737235,4250156165735,3428500,-1
10,1,STEP,4250156328335,4250160059735,3731400,-1
11,1,STEP,4250160161035,4250164850135,4689100,-1
12,1,STEP,4250165020035,4250169050735,4030700,-1
13,1,STEP,4250169203135,4250174054235,4851100,-1
14,1,STEP,4250174151535,4250177832135,3680600,-1
15,1,STEP,4250177921835,4250183237735,5315900,-1
16,1,STEP,4250183720335,4250189473435,5753100,-1
17,1,STEP,4250189734835,4250193305335,3570500,-1
18,1,STEP,4250193396935,4250196879835,3482900,-1
19,1,STEP,4250196993535,4250201363435,4369900,-1
20,1,STEP,4250201449835,4250204536835,3087000,-1
21,1,STEP,4250204625335,4250208495935,3870600,-1
22,1,STEP,4250208598135,4250212168035,3569900,-1
23,1,STEP,4250212248035,4250216139335,3891300,-1
24,1,STEP,4250216335435,4250220744435,4409000,-1
25,1,STEP,4250220898535,4250225319436,4420901,-1
26,1,STEP,4250225406736,4250228411636,3004900,-1
27,1,STEP,4250228485836,4250232084736,3598900,-1
28,1,STEP,4250232183536,4250234980636,2797100,-1
29,1,STEP,4250235059836,4250238239636,3179800,-1
30,1,STEP,4250238323636,4250241855736,3532100,-1
31,1,STEP,4250241951636,4250244900136,2948500,-1
32,1,STEP,4250245002036,4250248017036,3015000,-1
33,1,STEP,4250248172736,4250252371836,4199100,-1
34,1,STEP,4250252474036,4250255737236,3263200,-1
35,1,STEP,4250255942836,4250259543436,3600600,-1
36,1,STEP,4250259639136,4250263149736,3510600,-1
37,1,STEP,4250263240236,4250266473736,3233500,-1
38,1,STEP,4250266562736,4250269457036,2894300,-1
39,1,STEP,4250269549936,4250273119436,3569500,-1
40,1,STEP,4250273228036,4250276892336,3664300,-1
41,1,STEP,4250276985636,4250280065636,3080000,-1
42,1,STEP,4250280169636,4250284398436,4228800,-1
43,1,STEP,4250284512836,4250287995536,3482700,-1
44,1,STEP,4250288090136,4250291664236,3574100,-1
45,1,STEP,4250291757136,4250295462436,3705300,-1
46,1,STEP,4250295631836,4250300296936,4665100,-1
47,1,STEP,4250300490736,4250304485436,3994700,-1
48,1,STEP,4250304583236,4250309229136,4645900,-1
49,1,STEP,4250309316336,4250312399436,3083100,-1
50,1,STEP,4250312472136,4250316115036,3642900,-1
51,1,STEP,4250316303836,4250320719936,4416100,-1
52,1,STEP,4250320813236,4250324529036,3715800,-1
53,1,STEP,4250324626436,4250328131436,3505000,-1
