Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,3018558213893,3019181983963,623770070,-1
0,1,STEP,3019191736263,3019198936559,7200296,-1
1,1,STEP,3019200148673,3019206817124,6668451,-1
2,1,STEP,3019207446699,3019214227213,6780514,-1
3,1,STEP,3019214864210,3019220261942,5397732,-1
4,1,STEP,3019220888799,3019226377267,5488468,-1
5,1,STEP,3019226808349,3019232649416,5841067,-1
6,1,STEP,3019233041785,3019238635675,5593890,-1
7,1,STEP,3019239520264,3019245300694,5780430,-1
8,1,STEP,3019245799388,3019251407187,5607799,-1
9,1,STEP,3019251968230,3019256131501,4163271,-1
10,1,STEP,3019256655027,3019261650831,4995804,-1
11,1,STEP,3019262128882,3019269424843,7295961,-1
12,1,STEP,3019270013170,3019274865671,4852501,-1
13,1,STEP,3019275445338,3019280520179,5074841,-1
14,1,STEP,3019280924619,3019287653751,6729132,-1
15,1,STEP,3019288165912,3019293350827,5184915,-1
16,1,STEP,3019294296375,3019300075461,5779086,-1
17,1,STEP,3019300610022,3019304790407,4180385,-1
18,1,STEP,3019305204432,3019310979761,5775329,-1
19,1,STEP,3019311493195,3019315748840,4255645,-1
20,1,STEP,3019316163286,3019320225072,4061786,-1
21,1,STEP,3019320654513,3019325593890,4939377,-1
22,1,STEP,3019326035299,3019331716172,5680873,-1
23,1,STEP,3019332133133,3019336438659,4305526,-1
24,1,STEP,3019337233537,3019343055472,5821935,-1
25,1,STEP,3019343485104,3019352364849,8879745,-1
26,1,STEP,3019352804594,3019358343762,5539168,-1
27,1,STEP,3019358833283,3019372398089,13564806,-1
28,1,STEP,3019373015151,3019378316682,5301531,-1
29,1,STEP,3019378771511,3019384029164,5257653,-1
30,1,STEP,3019384583536,3019390268095,5684559,-1
31,1,STEP,3019390829725,3019396458111,5628386,-1
32,1,STEP,3019396964047,3019401449831,4485784,-1
33,1,STEP,3019402100224,3019407527289,5427065,-1
34,1,STEP,3019408219725,3019415076632,6856907,-1
35,1,STEP,3019415575029,3019424172978,8597949,-1
36,1,STEP,3019424688080,3019439218119,14530039,-1
37,1,STEP,3019439859374,3019444027171,4167797,-1
38,1,STEP,3019445404986,3019456849705,11444719,-1
39,1,STEP,3019457305811,3019461915066,4609255,-1
40,1,STEP,3019462584171,3019468650225,6066054,-1
41,1,STEP,3019469335597,3019474391918,5056321,-1
42,1,STEP,3019475083192,3019480273121,5189929,-1
43,1,STEP,3019485508195,3019494387398,8879203,-1
44,1,STEP,3019494910929,3019500189578,5278649,-1
45,1,STEP,3019500799071,3019507249991,6450920,-1
46,1,STEP,3019509828015,3019521671779,11843764,-1
47,1,STEP,3019522179724,3019528038914,5859190,-1
48,1,STEP,3019528693667,3019541421912,12728245,-1
49,1,STEP,3019541920603,3019553676331,11755728,-1
50,1,STEP,3019554146620,3019560091152,5944532,-1
51,1,STEP,3019561149786,3019568023629,6873843,-1
52,1,STEP,3019568798052,3019574789185,5991133,-1
53,1,STEP,3019575371907,3019585971227,10599320,-1
54,1,STEP,3019591234503,3019599737411,8502908,-1
55,1,STEP,3019600218409,3019606670161,6451752,-1
56,1,STEP,3019607122567,3019614705101,7582534,-1
57,1,STEP,3019615228133,3019620258995,5030862,-1
58,1,STEP,3019620778363,3019626877718,6099355,-1
59,1,STEP,3019627665581,3019638894555,11228974,-1
60,1,STEP,3019639747070,3019645496180,5749110,-1
61,1,STEP,3019646002932,3019651460340,5457408,-1
62,1,STEP,3019652336507,3019658380617,6044110,-1
63,1,STEP,3019659147301,3019664444693,5297392,-1
64,1,STEP,3019665305003,3019671609431,6304428,-1
65,1,STEP,3019672445362,3019680916073,8470711,-1
66,1,STEP,3019681715406,3019691108165,9392759,-1
67,1,STEP,3019692201954,3019698125835,5923881,-1
68,1,STEP,3019698804380,3019704896323,6091943,-1
69,1,STEP,3019705657869,3019714881708,9223839,-1
70,1,STEP,3019715382659,3019720683957,5301298,-1
71,1,STEP,3019721373306,3019726709813,5336507,-1
72,1,STEP,3019729937100,3019736102601,6165501,-1
73,1,STEP,3019736952332,3019748982696,12030364,-1
74,1,STEP,3019750183949,3019755164273,4980324,-1
75,1,STEP,3019755794965,3019763074497,7279532,-1
76,1,STEP,3019763634573,3019768503901,4869328,-1
77,1,STEP,3019769075230,3019774743119,5667889,-1
78,1,STEP,3019778960601,3019783547849,4587248,-1
79,1,STEP,3019784232092,3019789671994,5439902,-1
80,1,STEP,3019790321327,3019795469987,5148660,-1
81,1,STEP,3019796427983,3019801903080,5475097,-1
82,1,STEP,3019802362188,3019807870857,5508669,-1
83,1,STEP,3019808598914,3019817490237,8891323,-1
84,1,STEP,3019818238216,3019825477352,7239136,-1
85,1,STEP,3019826460658,3019834242756,7782098,-1
86,1,STEP,3019834763073,3019839814013,5050940,-1
87,1,STEP,3019840532973,3019846332511,5799538,-1
88,1,STEP,3019847156926,3019852418952,5262026,-1
89,1,STEP,3019853035494,3019858931642,5896148,-1
90,1,STEP,3019859735209,3019866271956,6536747,-1
91,1,STEP,3019867528581,3019874071575,6542994,-1
92,1,STEP,3019878601561,3019885534261,6932700,-1
93,1,STEP,3019886574678,3019893397912,6823234,-1
94,1,STEP,3019900901183,3019908171194,7270011,-1
95,1,STEP,3019908779393,3019913931719,5152326,-1
96,1,STEP,3019914538593,3019920738242,6199649,-1
97,1,STEP,3019922259269,3019928853794,6594525,-1
98,1,STEP,3019929764041,3019936134524,6370483,-1
99,1,STEP,3019937140982,3019942321105,5180123,-1
100,1,STEP,3019942818780,3019949361675,6542895,-1
101,1,STEP,3019950389939,3019955950861,5560922,-1
102,1,STEP,3019956718079,3019962358333,5640254,-1
103,1,STEP,3019963111731,3019969524897,6413166,-1
104,1,STEP,3019970070843,3019974311594,4240751,-1
105,1,STEP,3019974856395,3019986116526,11260131,-1
106,1,STEP,3019987125011,3019998622706,11497695,-1
107,1,STEP,3019999375786,3020006129768,6753982,-1
108,1,STEP,3020006592845,3020014394395,7801550,-1
109,1,STEP,3020017995551,3020022339094,4343543,-1
110,1,STEP,3020022815977,3020030164415,7348438,-1
111,1,STEP,3020030742660,3020035852164,5109504,-1
112,1,STEP,3020036361606,3020041809474,5447868,-1
113,1,STEP,3020042343110,3020048378969,6035859,-1
114,1,STEP,3020049069259,3020053627182,4557923,-1
115,1,STEP,3020054418751,3020061908609,7489858,-1
116,1,STEP,3020062426457,3020071123102,8696645,-1
117,1,STEP,3020072184648,3020078823978,6639330,-1
118,1,STEP,3020079378396,3020084874338,5495942,-1
119,1,STEP,3020085638619,3020092287691,6649072,-1
120,1,STEP,3020093044836,3020097449036,4404200,-1
121,1,STEP,3020097893165,3020102323589,4430424,-1
122,1,STEP,3020102822569,3020107928144,5105575,-1
123,1,STEP,3020108367851,3020118407260,10039409,-1
124,1,STEP,3020118933224,3020124655416,5722192,-1
125,1,STEP,3020126798676,3020131405521,4606845,-1
126,1,STEP,3020131944068,3020137314997,5370929,-1
127,1,STEP,3020137817330,3020143293112,5475782,-1
128,1,STEP,3020144252068,3020148774580,4522512,-1
129,1,STEP,3020149460118,3020154762999,5302881,-1
130,1,STEP,3020155399557,3020165540261,10140704,-1
131,1,STEP,3020166211615,3020171222530,5010915,-1
132,1,STEP,3020172304978,3020177030502,4725524,-1
133,1,STEP,3020178224775,3020183486297,5261522,-1
134,1,STEP,3020184412359,3020189676541,5264182,-1
135,1,STEP,3020190208900,3020199296051,9087151,-1
136,1,STEP,3020200150999,3020208025573,7874574,-1
137,1,STEP,3020208622658,3020213491451,4868793,-1
138,1,STEP,3020213916364,3020219428535,5512171,-1
139,1,STEP,3020220051734,3020225569761,5518027,-1
140,1,STEP,3020226278277,3020232313735,6035458,-1
141,1,STEP,3020232749403,3020237220954,4471551,-1
142,1,STEP,3020237652601,3020241369595,3716994,-1
143,1,STEP,3020241945918,3020246717616,4771698,-1
144,1,STEP,3020247152218,3020254550182,7397964,-1
145,1,STEP,3020255026997,3020259351845,4324848,-1
146,1,STEP,3020259954816,3020269859348,9904532,-1
147,1,STEP,3020270587416,3020275260430,4673014,-1
148,1,STEP,3020275979935,3020280105815,4125880,-1
149,1,STEP,3020280557046,3020285137087,4580041,-1
150,1,STEP,3020286042868,3020290255351,4212483,-1
151,1,STEP,3020290665775,3020294602259,3936484,-1
152,1,STEP,3020295013987,3020298498110,3484123,-1
153,1,STEP,3020298941264,3020303671580,4730316,-1
154,1,STEP,3020304087373,3020308227563,4140190,-1
155,1,STEP,3020308684048,3020312841429,4157381,-1
156,1,STEP,3020313294697,3020318113658,4818961,-1
157,1,STEP,3020318649933,3020323254122,4604189,-1
158,1,STEP,3020323701743,3020327899282,4197539,-1
159,1,STEP,3020328271441,3020331915535,3644094,-1
160,1,STEP,3020332354201,3020337441764,5087563,-1
